Country,Year,Population,Percent of Pop. Using Internet,Homicide Count per 100k,Homicide Rate per 100k,Pop. Change Indicator,Internet Use Change Indicator,Hom. Count Change Indicator,Hom. Rate Change Indicator,Avg. Change in Pop.,Avg. Change in Internet Use,Avg. Change in Hom. Count,Avg. Change in Hom. Rate,Region
Albania,2002,3051428.567,0.390081273,231,7.5,-1,1,1,1,-12683.06799999997,0.06428289600000003,23.0,0.7000000000000002,Europe
Albania,2003,3033658,0.971900415,144,4.6,-1,1,-1,-1,-17770.566999999806,0.5818191420000001,-87.0,-2.9000000000000004,Europe
Albania,2004,3014578,2.420387798,119,3.8,-1,1,-1,-1,-19080.0,1.4484873830000002,-25.0,-0.7999999999999998,Europe
Albania,2005,2992723.512,6.043890864,131,4.2,-1,1,1,1,-21854.487999999896,3.6235030659999996,12.0,0.40000000000000036,Europe
Albania,2006,2968027,9.609991316,87,2.8,-1,1,-1,-1,-24696.512000000104,3.5661004520000006,-44.0,-1.4000000000000004,Europe
Albania,2007,2940879.228,15.03611541,105,3.3,-1,1,1,1,-27147.77199999988,5.426124094,18.0,0.5,Europe
Albania,2008,2912559.007,23.86,93,2.9,-1,1,-1,-1,-28320.220999999903,8.823884589999999,-12.0,-0.3999999999999999,Europe
Albania,2009,2884301.048,41.2,85,2.7,-1,1,-1,-1,-28257.959000000264,17.340000000000003,-8.0,-0.19999999999999973,Europe
Albania,2010,2856672.173,45,127,4,-1,1,1,1,-27628.875,3.799999999999997,42.0,1.2999999999999998,Europe
Antigua and Barbuda,2001,76886,8.899285515,7,8.8,1,1,1,1,4576.0,2.4170597780000005,2.0,2.4000000000000004,Caribbean
Antigua and Barbuda,2002,78320,12.5,5,6.2,1,1,-1,-1,1434.0,3.6007144849999992,-2.0,-2.6000000000000005,Caribbean
Antigua and Barbuda,2003,79781,17.22864878,5,6.1,1,1,0,-1,1461.0,4.72864878,0.0,-0.10000000000000053,Caribbean
Antigua and Barbuda,2004,81270,24.26654372,4,4.8,1,1,-1,-1,1489.0,7.037894940000001,-1.0,-1.2999999999999998,Caribbean
