Avg. Change in Pop.,Avg. Change in Internet Use,Avg. Change in Hom. Count,Avg. Change in Hom. Rate
-12683.068,0.064282896,23,0.7
-17770.567,0.581819142,-87,-2.9
-19080,1.448487383,-25,-0.8
-21854.488,3.623503066,12,0.4
-24696.512,3.566100452,-44,-1.4
-27147.772,5.426124094,18,0.5
-28320.221,8.82388459,-12,-0.4
-28257.959,17.34,-8,-0.2
-27628.875,3.8,42,1.3
4576,2.417059778,2,2.4
1434,3.600714485,-2,-2.6
1461,4.72864878,0,-0.1
1489,7.03789494,-1,-1.3
1516,2.73345628,-1,-1.2
452708.6,1.390481201,-14,-0.12
-771870,2.742124199,395,1
804800,1.066444632,-86,-0.3
356321,4.12298756,-617,-1.7
366099,1.68389926,-144,-0.4
378461,3.20661873,-63,-0.2
385772,5.01943084,19,0
389021,4.02668353,-355.5,-0.95
13016,0.029453906,-8,-0.2
8753,0.017008543,-7,-0.2
6082,0.842078279,-3,-0.1
2066,0.329732265,1,0.1
-589872,0.330624645,-3,-0.1
-872,1.472061279,-11,-0.35
2763,0.323791346,17,0.5
3504,0.353974781,-25,-0.8
3559.5,0.378804425,21,0.7
5426.5,0.38946562,-2,-0.1
7511,0.188746603,6,0.2
9698,9.09,0,0
11506,9.7,-39,-1.3
-161566,0.515595357,-14,-0.1
206850,13.09410851,9,0
233418,14.44388106,-36,-0.2
174873,9.97054446,58,0.3
231182,5.97233171,-41,-0.2
-387788,5.93315082,8,0
93724.8,2.662146714,-5.8,-0.04
315734,3.45,-26,-0.2
481318,2.22,6,0
456716,2.58,2,0
344519,1.75,-34,-0.2
12850,5.018951829,17,0.2
12797,2.624811964,-33,-0.4
6267,5.887245003,11,0.2
13805,7.62309778,-17,-0.2
17990,10.68581585,22,0.2
-77318,5.45531723,-12,-0.1
39828,-2.62545018,-5,-0.1
36124,6.14,-15,-0.2
51196,11.58,9,0.1
55837,3.72,-5,0
42670,5.6,7,0
30975,5.77,-16,-0.2
30976,3.5,0,0
18711,0.58,-2,0
10015,1.72,10,0.1
98800,2.54,3,0
158743,14.46,7,0.05
4341.285714,2.714285714,0.571428571,-0.171428571
4280,4.54,-6,-2.1
4120,2.34,15,4.1
9061,9.12,7,1.7
67212.009,19.04,2,0.2
2781.1,6.112632165,1.1,0.38
-28261,0.019722597,51,0.5
-32290,0.024848006,15,0.2
-158600,0.421012348,-62,-0.6
-159641,1.365516881,39,0.5
-47357,3.545286595,-12,-0.1
-48066.25,1.812257171,-63.75,-0.6
-30385,3.5,-85,-0.8
-21275,3.3,-108,-1.1
-177034,4.43,-68,-0.7
45100,1.85670382,67,0.7
69371,15.04160449,36,0.3
46119,3.64,-90,-0.9
40577,3.89,37,0.4
57480.5,2.93,-22,-0.25
111222,4.72,-10,-0.1
44262,1.56,-11,-0.1
129627,4,-14,-0.2
43412,5,-6,0
324,4.55983988,1,1.6
299,4.52189747,1,1.5
288,4.49041481,-1,-1.6
278,4.46885483,0,0
251,4.45619878,1,1.6
226,4.45258937,0,0
212,4.45093887,0,0
200,7.94940597,2,3
186,0.95,1,1.6
-158,0.96,1,1.5
156,4.126,1,1.5
301,3.08,1,0.1
560,5.01,-11,-0.3
-43779,0.605585618,-56,-0.6
-28868,0.494561965,-40,-0.4
-55282,0.625151989,-17,-0.2
-46162,1.063188904,-54,-0.6
-40452,2.462769444,5,0
-241271,2.24137428,-24,-0.2
-44401,1.467702251,-53,-0.7
-45343,2.96,-8,0
-42396,6.09,-7,-0.1
-41261,1.84,-41,-0.5
-40880,7.12,-13,-0.2
-126347,6.55,-9,-0.1
-54671,6.03,-5,0
-50883,5.33,-22,-0.3
-45353,1.23,-3,0
231085.6667,0.047351943,-47,-0.45
-768565,2.596714397,47,0.1
339082,8.31211771,-49,-0.1
290211,9.82504294,-28,-0.1
-98031.66667,11.76753323,-1.666666667,-0.033333333
1406900,1.39329927,29,0.1
215687,2.60670073,-33,-0.2
316639,1.75596346,75,0.3
324191,5.70403654,39,0.1
-657612,0.74,-57,-0.2
352536,0.8,-12,-0.1
335363,3.5,17,0
408795,3.6,-1,0
405997,0,-56,-0.2
2508.5,8.25,2,3.1
165396,3.32240414,14,0.1
165400,1.40224883,26,0.1
165396,1.4,-28,-0.2
165403,4.26,42,0.2
165402,3.44,-89,-0.5
66420,0.424227834,5,0
68260,0.799164248,21,0.5
70209,1.02615741,14,0.2
496749,1.237944559,21,0.4
-27479,1.895929766,4,0
198088,3.759229112,8,0
81283,10.335369,1,-0.1
-777,0.43876368,42,0.9
159708,0.4586919,-20,-0.6
77327,1.27769329,55,1.2
28035,3.03,16,0.2
89257,3.3,18,0.3
8105,3.89,143,3
58085,2.04,13,0.1
54249,2.17,2,-0.1
-282431,0.344953778,-44,-1
78893,0.870626944,-4,0
-71325,1.543610967,13,0.3
52620,1.13213884,-10,-0.2
-51270,2.239523425,-10,-0.2
-65039,4.913690636,-28,-0.6
10088,6.20142682,-3,-0.1
-110,4.99,-11,-0.3
341,8.16,14,0.4
5136,2.23,-15,-0.4
1626,4.84,6,0.2
1043,3.46,-12,-0.3
-1563,2.8,9,0.2
-2171,6.34,-22,-0.5
-6949,5.97,13,0.3
-35750,1.470684016,-20,-0.2
20458,3.166715705,24,0.2
6832,1.330077449,24,0.2
-1079,1.421539102,-112,-1
-3524,0.53039869,-12,-0.1
-1472,1.25,-45,-0.4
2919,1.39,45,0.4
-12207,0.486802353,-3,0
-10012,0.975320502,14,0.1
-9504,0.98020737,-13,-0.1
-16845,2.936895953,-2,0
-16238,2.94772587,2,0
-36486,4.916644232,60,0.6
-30845,9.23282788,0,0
-8533,10.37,-2,0
2698,1.2,-5,-0.1
3508,-0.23,-41,-0.4
24722,12.66,45,0.5
30656,4,-35,-0.4
89189,11.04,6,0
82361,1.46,-21,-0.2
33641,1.889331421,9,0.2
22717,5.667017099,19,0.4
17084,11.28674121,-39,-0.8
17807,7.9232945,3,0.1
18233,8.58039021,6,0.1
21439,3.78509386,-6,-0.1
17147.5,21.29247528,4,0
14643.5,12.01,9,0.2
10603,4.67,-22,-0.4
14801,1.81,10,0.2
18589,3.91,-24,-0.5
22848,-1.62,10,0.2
41938,-0.01,15,0.3
43650,1.82,-7,-0.1
509,5.230589252,0.8,1.18
122985,0.420175069,-1739,-30
121726,0.331968528,-294,-5.2
120880.5,0.361301365,-358,-6.25
120370,0.6,521,8.6
-294378,0.85,211,3.25
-152649.5,0.955,-140.5,-2.55
204222.5,3,426,6.65
30444,3.79,-344,-5.9
33141,3,303,4.5
-14726,0.74614264,-32,-2
-11229,2.181165419,-36,-2.4
-8275,5.089758282,18,1.4
-7322,3.70486241,-39,-2.7
-72338,14.07605657,-14,-1
-8530,2.95053596,-6,-0.3
-9210,9.99251023,5,0.4
-8320,3.8,5,0.4
-8940,7.88,-56,-4.2
-7400,8.25,22,1.7
-8150,2.06,-22,-1.6
-7780,2.68,2,0.1
-4480,4.39,-9,-0.6
-2700,1.92,-14,-1.1
-2450,1.6,0,0
16783,2.87977137,7,0.1
15262,2.67860754,-14,-0.3
13662,5.99384213,-26,-0.5
11977,6.84256736,30,0.6
15641,4.95336945,5,0.1
6893,5.85690161,8,0.1
12590,19.32463665,-24,-0.5
12415.5,6.79,-29,-0.5
15158,3.17,45,0.8
17924,2.09,-29,-0.5
20172,5.18,1,0
22452,1.12,9,0.1
24679.5,2.89,4,0.1
12915,-1.18,-12,-0.2
64000.5,4.4,-3,-0.1
228528,1.670969893,-208,-0.3
358741,2.06477485,-2,-0.1
1334584,2.805539167,-8,0
258849,5.182606051,98,0.2
-33086,12.01797961,-5,0
296160,3.85409645,73,0.1
539155,5.96,-132,-0.3
493230,3.01,3,0
660261,3.72,-14,0
171169,4,-97,-0.2
185750,19.22,-53,-0.1
596544,4.59,13,0.1
338913,0.9,-157,-0.3
6039,1.29493589,-13,-7.5
6748,1.2709405,-3,-2.2
7546,1.24968119,-14,-7
5766,1.22047792,4,1.5
5203,1.16899519,-2,-1.3
-15800,0.028228534,-121,-2.3
9900,0.031382769,-13.5,-0.2
7200,0.31351261,1,0.1
-456547,0.068402732,-5,-0.1
-287009,0.551564666,26.5,0.65
-42635,0.970940851,10,0.3
-10550,1.327404873,-21,-0.4
43050,2.193236275,122,2.8
36600,1.447419216,-80,-1.7
-9600,0.733123155,7,0.2
-4600,1.75,-67,-1.5
1629,10.06,-53,-1.2
67371,6.83,-23,-0.5
234672,1.21706748,-123,-0.2
39536,3.656282243,-71,-0.1
-28432,3.166764951,-203,-0.2
57635,10.96813021,30,0
101032,9.37036396,10,0
151815,1.43459282,-90,-0.1
142880,17.16906058,30,0.1
51866.5,7.08,-96,-0.2
-32901.5,8.83,9,0.1
-67732,3.715,-30,-0.05
-99438.5,3,-51,-0.1
-48534.5,2.84,-35,0
-215481,1,-16,0
-200099,3,-16,-0.1
21859,0.645744302,18,0.2
22958,0.454273909,34,0.3
17530,1.372187098,-27,-0.3
366241,3.655470358,-21,-0.2
34850,2.261545164,3,0
16640,1.796188502,-19,-0.1
52574,3.73497419,-31,-0.3
55258,3.13,14,0.1
38842,3.62,-13,-0.1
66184,2.58,23,0.2
74820,8.25,-22,-0.2
80736,3.63,18,0.1
93313.5,2.32,11,0.1
100527,4.2,4,0.1
-7138,2,33,0.2
105,6.699942488,-5,-9
11,6.94816614,5,8.9
97,10.14519792,2,3.5
210,3.71632566,4,7
215,8.69065214,-5,-8.9
141,10.3794708,-7,-12.4
162,1.56475493,6,10.5
57,1.60438974,-1,-1.8
-160,1.65828277,0,0
-127,1.70831273,-8,-14
-227,0.88,4.5,7.85
1532,9.26710049,6,3.8
724,5.81206673,-6,-3.9
518,2.52438753,6,3.7
445,2.44510605,1,0.5
